en,ja
create,を創り出す；を引き起こす
increase,増加する；を増やす
improve,を向上させる；よくなる
mean,を意味する；(…する)つもりである(to do)
own,を所有している；(事実・罪など)を認める
include,を含む
consider,を見なす；について考える
allow,を許す；を与える；(～を)考慮に入れる(for)
suggest,を提案する；を暗示する
produce,を生産する；を取り出す
decide,を決める；に決着をつける
offer,を提供する，申し出る
require,を要求する；を必要とする
share,を共有する；を分担する
store,を保存する；を蓄える
tend,傾向がある；を世話する
concern,〔受身形で〕心配している；〔受身形で〕(～に)関係する(with)；に関連する
describe,について述べる，を説明する
involve,を関与させる；を伴う
reduce,を減らす；を(～に)変える(to)
design,を設計する；を計画する
force,に強いる；を強要する
limit,を制限［規制］する
bear,に耐える；を負う；を産む；を(心に)抱く
affect,に影響を及ぼす；を感動させる
deal,〔＋withで〕を処理する；〔＋inで〕を商う；を分配する
avoid,を避ける
relate,を関連づける；(～に)関連する(to)
realize,に気づく；を実現する
encourage,を奨励する；を励ます
compare,を比較する；を(～に)たとえる(to)
measure,を測る；を(比較して)評価する
exist,存在する；生存する
mark,に印をつける；を(記号で)示す；に汚れをつける
challenge,に異議を唱える；(人)に挑む
depend,頼る；～次第である
object,反対する；(…)と言って反対する(that節)
demand,を要求する
found,を設立する；(理論など)を(～に基づいて)築く(on)
complete,を完成させる，仕上げる
idea,考え，思いつき；理解；見解；概念
accord,一致；合意，協定
company,会社；〔集合的に〕仲間；(仲間と)一緒にいること；一座
interest,興味；利子；利害
research,(～についての)研究，調査(into / on / in)
cause,原因；理由；大義
reason,理由；(…する)根拠(to do)；理性；分別
effect,影響，効果；結果
influence,影響(力)
situation,状況；(人の置かれた)立場
environment,環境
skill,技能；熟練
matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質
view,(～についての)見解(on / about)；(～に対する)(特定の)見方(of)；眺め
value,価値；価格；評価；〔～s〕価値観
species,(生物の)種；種類
thought,考え；思考
knowledge,知識；知っていること；認識
memory,記憶(力)；(～の)思い出(of)
practice,実践，実行；(社会の)慣習；練習
benefit,利益，恩恵；給付金
theory,学説；理論；原理；推測
issue,問題(点)；発行(物)；発表
experiment,(～を対象とする)実験(on)
article,記事；条項；品物
focus,焦点；関心の的
subject,話題；科目；主題；被験者
project,計画；事業；研究計画
quality,質；特質
role,役割；(俳優などの)役
term,(専門)用語；〔～s〕条件；〔～s〕間柄；学期
statement,声明；主張；明細書
material,材料，素材；資料；生地
evidence,証拠
source,(～の)源，根源(of)；出所，情報源
community,(共同)社会，～界；地域社会；地域住民
technology,科学技術；応用技術
culture,文化；教養；耕作；養殖；培養
appropriate,(～に)適切な(for / to)
likely,ありそうな
possible,可能な；可能性のある
individual,個々の；個人の
public,公の；公衆の；公開の
common,共通の；普通の；一般の
certain,確信して；確かな；ある；一定の
similar,似ている，類似した；同様の
recent,最近の
major,主要な；大きい(ほうの)；長調の
patient,忍耐強い；勤勉な
particular,特定の；特別の；(～について)やかましい(about)
physical,身体の；物質的な；物理学の
various,さまざまな；いくつかの
available,手に入る；利用できる；手が空いている
native,出生地の；原産の；生得の
political,政治(上)の
due,予定された；(支払)期日で；しかるべき
blank,空白の；無表情な；がらんとした
ancient,古代の；昔からの
correct,正しい；適切な
despite,～にもかかわらず
notice,に気づく
refer,言及する，関連する；参照する
approach,に近づく；に取り組む
wonder,かなと思う；(に)驚く(at)
imagine,(を)想像する；(を)推測する
recognize,を識別できる；を認める
solve,を解く，解明する；(困難など)を解決する
occur,起こる；心に浮かぶ；現れる
argue,と主張する；議論する
claim,と主張する；を(自分のものとして)要求する
express,を表す，述べる
draw,を引き出す；を引く；を描く；近づく
waste,を浪費する，無駄にする
advance,を進歩させる；を進める；進歩する；進む
spread,を広める；広がる
prepare,を準備する；を調理する；(～のために)準備をする(for)
gain,を獲得する；(を)増す
achieve,を達成する；を成し遂げる
establish,を確立する；を設立する
supply,を供給する
suppose,と思う；と仮定する
perform,(を)行う；(を)演じる，(を)演奏する
prefer,のほうを好む
determine,を決定する；を正確に知る
treat,を扱う；を治療する
prove,を証明する；判明する，わかる
apply,を適用［応用］する；申し込む；(～に)適用される(to / in)
mention,に言及する；と言う
communicate,(～と)情報交換をする(with)；を伝達する
contain,を含む；を収容する；(感情など)を抑える
contact,と連絡を取る；接触する
regard,を見なす；を見る；を評価する
respect,を尊敬する；を尊重する
search,捜す；を捜索する；を詳しく調べる
connect,をつなぐ；を関連づける
decline,減少する；衰退する；を断る
prevent,を妨げる；を防ぐ
suffer,苦しむ；患う；(苦痛など)を経験する
survive,を切り抜けて生き残る；より長生きする；生き延びる
publish,を出版する；を公表する
opportunity,機会
task,(課せられた)仕事，作業；課題；タスク
industry,産業；勤勉
medium,(情報伝達の)媒体；手段
economy,経済(状態)；経済圏；節約
policy,政策，方針；(個人の)主義
account,説明；勘定；口座
trade,貿易；商売，取引
model,模範；モデル；模型；型
figure,数字；姿；人物；図表
cell,細胞；独房；電池
image,印象，イメージ；画像；像
emotion,感情，情動；感動
stress,ストレス；圧力；強調
decade,10年間
range,範囲；射程距離；(同類の)組
character,性格，個性；特徴；登場人物；文字
advantage,利点；優勢；有利
phrase,句；成句；言葉遣い
damage,損害，損傷；〔～s〕損害賠償金
impact,影響；(激しい)衝突；衝撃(力)
method,方法；体系；秩序
resource,〔通例～s〕資源；〔通例～s〕資金；才覚
region,地域；領域；部位
medicine,薬；医学
detail,〔～s〕詳細(な情報)，細部
feature,特徴；〔通例～s〕顔つき；特集記事［番組］
function,機能；関数
access,利用，入手；接近(の機会・方法・権利)
item,品目，項目；(同種の中の)～個；(短い)記事
income,収入；所得
attitude,態度；考え方，心構え
site,用地，場所；跡地；(ウェブ)サイト
aspect,(物事の)側面；観点；様相
structure,構造；体系；構造物
habit,習慣，癖
link,関連，つながり；(2地点を結ぶ)交通手段；リンク
instance,(具体的な)例，実例；(特定の)場合
positive,肯定的な；積極的な；確信して；(検査結果が)陽性の
negative,否定的な；消極的な；(検査結果が)陰性の
complex,複雑な；複合(体)の
current,現在の；現代の；通用している
mental,精神の；知能の；頭の中で行う
specific,特定の；明確な，具体的な；(～に)特有の(to)
significant,重要な，重大な；意義深い
essential,(～に)必要不可欠な(to / for)；本質的な
official,公用の；公式の；役所の
financial,財政(上)の；財界の
academic,学問の；大学の
aware,気づいて，知って
worth,(…する)に値する(doing)；の価値がある
potential,潜在的な；可能性を秘めた
active,積極的な；活動的な；効力のある
digital,デジタル方式の；デジタル［数字］表示の
mobile,可動［移動］式の；流動性のある
novel,斬新な，目新しい
plastic,柔軟な；プラスチックの，ビニールの
chemical,化学の，化学的な
necessary,必要な
eventually,結局(は)
identify,を特定する；を(～と)同一視する(with)
represent,を表す；を代表する；に相当する
indicate,を指し示す；を述べる
manage,をなんとか成し遂げる；を管理する
attend,に出席する；(を)世話する；(～に)対処［対応］する(to)
maintain,を維持する；と主張する；を養う
survey,を調査する；をじろじろ見る；を概観する
replace,に取って代わる；を取り替える
sort,を(～に)分類する(into)；を(～から)えり分ける(from)
conduct,(調査・実験など)を実施する；を導く
associate,を結び付けて考える；(～と)交際する(with)
attempt,を試みる，企てる
promote,を促進する；〔通例受身形で〕昇進する
earn,を稼ぐ；を得る；をもたらす
unite,を団結させる；(を)結合する；団結する
feed,に食べ物［乳］を与える；に(～を)供給［補給］する(with)；餌を食べる
seek,を追い求める；(助けなど)を要請する
observe,に気づく；を観察する；を遵守する
reveal,を明らかにする；を見せる
estimate,と推定する；を見積もる；を評価する
reflect,を反映する；(を)反射する；(を)熟考する
attract,を引きつける
decrease,減少する；を減らす
ignore,を無視する
match,(と)合う；に匹敵する；一致する
define,を定義する；を明確にする
adapt,適応する；を(～に)適合させる(to)
contribute,貢献する，一因となる；(を)寄付する；(を)寄稿する
exchange,(を)交換する；両替する
display,を示す；を発揮する；を展示［陳列］する
respond,反応する；答える
hide,を隠す；隠れる
doubt,ではないと思う；を疑う
remove,を取り除く；を解雇する
wind,(ねじなど)を巻く；(道などが)曲がりくねる；巻きつく
assume,を当然のことと思う，と仮定する；(権力など)を手に入れる；(責任など)を引き受ける
relax,くつろぐ；緩む；をくつろがせる；を緩める
satisfy,を満足させる；(条件など)を満たす
desire,を強く望む
succeed,(～に)成功する(in)；(～を)継承する(to)
concept,概念；考え；(商品・販売の)コンセプト
fashion,流行，ファッション；方法，流儀
device,装置，機器；方策；デバイス
charge,料金；世話；管理；告発
contrast,(～との)対照(with / to)
colleague,(職場の)同僚
pain,苦痛，痛み；苦悩；〔～s〕骨折り
bill,請求書；【英】勘定書；法案
content,内容，中身；コンテンツ
section,部門；部分；地区；欄
audience,〔集合的に〕聴衆，観客；視聴者
surface,表面；〔the ～〕外見
crop,〔しばしば～s〕作物；収穫高
topic,話題，トピック；主題
technique,技術；技巧；手法
status,地位；状態
option,選択(の自由)；選択肢
reward,報酬；報い
race,人種；民族；競争
crime,罪，犯罪；違法行為
conflict,争い；論争；不一致
struggle,闘い；懸命の努力
context,状況，背景；文脈
debate,討論，論争；討論会
fuel,燃料；勢いを増加させるもの
pollution,汚染，公害
trend,(～への)傾向(toward)；流行
balance,均衡，バランス；(体の)平衡；残高
traffic,交通；通行；交通［輸送］量；(不正)取引
strategy,戦略
basis,基礎；根拠；基準
consequence,〔通例～s〕結果；重大性
aim,目的，目標；狙い
ancestor,祖先；原型
gene,遺伝子
track,跡；軌道；【米】(鉄道の)番線；走路
revolution,革命；回転；(天体の)公転
progress,進歩；前進
cognitive,認知の
ideal,理想的な；観念的な
efficient,効率的な；有能な
universal,普遍的な；宇宙の；万能の
vast,莫大な；広大な
extra,追加の，余分の；別勘定の
entire,全体の，全部の；完全な
familiar,精通している；よく知られている
obvious,明らかな
moral,道徳(上)の，倫理的な；道徳的な
ordinary,一般の，普通の；並の
equal,(～に)等しい(to)；匹敵する；平等な
previous,以前の，前の
FALSE,間違った；虚偽の；偽の
rare,まれな，珍しい；希少な
legal,法律の；合法の
independent,(～から)独立した(of / from)
extreme,極端な；極度の，過激な
actual,実際の，現実の
willing,いとわない，かまわないと思う
urban,都市の；都会的な
whereas,～するのに(対し)，～する一方
predict,を予言［予測］する
examine,を調べる；を診察する；を尋問する
trust,を信頼する；を(信頼して)託す
stick,を動けなくする；を突き刺す；(～に)くっつく(to / on)
emerge,現れる；明らかになる；台頭する
vary,さまざまである；変わる；を変える
release,を放出する；を解放する；を発表する
divide,を分ける；分かれる
enable,(人)が…できるようにする；を可能にする
judge,(を)判断する；に判決を下す
rely,頼る
engage,を従事させる；を(～として)雇う(as)；(～に)従事する(in / with)
shift,を変える，移す；変わる；移動する
adopt,を採用する；(態度など)をとる；を養子にする
acquire,を得る；を習得する
expand,(を)拡大する；(を)詳説する
refuse,を拒む；を断る；拒絶する
strike,の心を打つ；を襲う；を打つ；(に)ぶつかる
repeat,(を)繰り返す；を復唱する
consume,を消費する；を食べる，飲む
confuse,を混同する；を当惑させる
select,を選ぶ，えり抜く
evolve,(徐々に)発展する；進化する
convince,を納得［確信］させる
recall,を思い出す；を呼び戻す
destroy,を破壊する；(人)を破滅させる
preserve,を保存する；を保持する；を保護する
organize,を準備する；を組織する
warn,(人)に(～を)警告［注意］する(of / against)
address,(問題など)に対処する；に演説する；(手紙など)を(～宛てに)出す(to)
operate,を操作する；機能する；手術する
participate,参加する
surround,を取り巻く；にまつわる
flow,流れる；(～から)生じる(from)
bore,(人)を退屈させる，うんざりさせる
complain,(と)不平［苦情］を言う；訴える
host,を主催する；のホスト役を務める
combine,を(～と)結び付ける(with)；(～と)結び付く(with)
extend,を伸［延］ばす；伸びる；及ぶ
appreciate,を正当に評価する；を鑑賞する；を感謝する
target,(到達・攻撃)目標；的
element,要素，成分；元素；〔an / ofで〕少しの
principle,原則，原理；主義，信条
phenomenon,現象
atmosphere,〔the ～〕大気；雰囲気
origin,起源；源
personality,個性，性格
capacity,(最大)容量，収容能力；(潜在)能力
profit,利益；収益(率)；得
circumstance,〔通例～s〕状況，事情；境遇
manner,〔～s〕作法；方法；物腰
threat,脅威；(悪い)兆し；脅迫
resident,居住者；滞在者
wealth,富；資源；富裕
institution,機関；協会；施設；制度
authority,〔通例 the ～s〕(関係)当局；権威；権限
vote,投票；投票結果；〔the ～〕選挙権
sight,光景；〔the ～s〕名所；見(え)ること；視野；視力
campaign,運動；軍事行動
fund,〔しばしば～s〕基金，資金
web,〔the W-〕ウェブ；(クモの)巣
symbol,象徴，シンボル；記号；標章
analysis,分析(結果)
version,(本・製品などの)版；解釈
perspective,観点，見方；大局観；遠近法
crisis,危機
disaster,災害；惨事
lecture,講義，講演；説教
psychology,心理学；心理(状態)
gender,(社会的・文化的)性，性別
custom,(社会的な)慣習；〔～s〕税関；〔～s〕関税
court,裁判所，法廷；裁判；宮廷；中庭
desert,砂漠；不毛の地
soil,土地，土壌；(悪事などの)温床
agriculture,農業；農学，畜産
fossil,化石；時代遅れの人［物］
document,(公)文書，書類；記録，資料
vocabulary,語彙
intelligent,聡明な；知能を有する
conscious,意識して，気づいて
capable,能力がある；有能な
accurate,正確な；精密な
fundamental,基本的な；必須の
artificial,人工の；不自然な
firm,確固たる；堅固な；安定した
overall,総合的な；全体的な
rural,田舎の，田園の
military,軍の，軍事(用)の
nuclear,核の，原子力の
biological,生物学(上)の
constant,絶え間ない；一定の
severe,(人・規律・事態・天気などが)厳しい；猛烈な
visual,視覚の；目に見える
enormous,莫大な，巨大な
convenient,便利な，都合のいい
domestic,家庭の；国内の；(動物が)飼いならされた
mass,大規模な，大量の；大衆(向け)の
typical,典型的な；(～に)特有の(of)
overseas,海外へ［に，で］
nevertheless,それにもかかわらず
demonstrate,を論証［証明］する；デモをする
behave,振る舞う；作動する
educate,を教育する；に教える；(能力など)を養う
purchase,を購入する
recommend,を勧める
admit,(を)(しぶしぶ)認める；に(～への)入場［入学など］を認める(to / into)
generate,を生み出す；(電気など)を発生させる
explore,(を)調査［探究］する；(を)探検［探査］する
amaze,をびっくりさせる
tear,を引き裂く；裂ける
settle,を解決する；(に)移り住む；を落ち着かせる
